Category: All categories

Month,Toyota RAV4: (United States)
2011-01,24
2011-02,27
2011-03,28
2011-04,27
2011-05,24
2011-06,26
2011-07,28
2011-08,27
2011-09,25
2011-10,24
2011-11,24
2011-12,25
2012-01,27
2012-02,25
2012-03,27
2012-04,28
2012-05,30
2012-06,31
2012-07,32
2012-08,36
2012-09,32
2012-10,30
2012-11,33
2012-12,33
2013-01,37
2013-02,36
2013-03,39
2013-04,38
2013-05,42
2013-06,40
2013-07,45
2013-08,41
2013-09,36
2013-10,34
2013-11,33
2013-12,35
2014-01,36
2014-02,39
2014-03,39
2014-04,38
2014-05,36
2014-06,43
2014-07,44
2014-08,41
2014-09,39
2014-10,38
2014-11,37
2014-12,35
2015-01,38
2015-02,38
2015-03,42
2015-04,41
2015-05,44
2015-06,45
2015-07,47
2015-08,49
2015-09,44
2015-10,44
2015-11,44
2015-12,42
2016-01,47
2016-02,46
2016-03,44
2016-04,43
2016-05,46
2016-06,50
2016-07,50
2016-08,51
2016-09,47
2016-10,45
2016-11,43
2016-12,47
2017-01,48
2017-02,46
2017-03,50
2017-04,50
2017-05,48
2017-06,54
2017-07,53
2017-08,56
2017-09,49
2017-10,51
2017-11,50
2017-12,49
2018-01,57
2018-02,55
2018-03,65
2018-04,67
2018-05,59
2018-06,65
2018-07,71
2018-08,75
2018-09,70
2018-10,69
2018-11,72
2018-12,77
2019-01,77
2019-02,92
2019-03,88
2019-04,84
2019-05,83
2019-06,88
2019-07,88
2019-08,88
2019-09,82
2019-10,82
2019-11,87
2019-12,76
2020-01,84
2020-02,87
2020-03,60
2020-04,50
2020-05,81
2020-06,100
2020-07,94
2020-08,93
2020-09,84
2020-10,86
2020-11,72
2020-12,81
