Category: All categories

Month,Toyota: (United States)
2011-01,70
2011-02,74
2011-03,74
2011-04,74
2011-05,69
2011-06,70
2011-07,73
2011-08,75
2011-09,69
2011-10,69
2011-11,69
2011-12,68
2012-01,70
2012-02,66
2012-03,71
2012-04,70
2012-05,72
2012-06,74
2012-07,72
2012-08,74
2012-09,72
2012-10,66
2012-11,70
2012-12,63
2013-01,71
2013-02,72
2013-03,74
2013-04,71
2013-05,73
2013-06,73
2013-07,80
2013-08,77
2013-09,71
2013-10,69
2013-11,70
2013-12,66
2014-01,74
2014-02,77
2014-03,74
2014-04,82
2014-05,82
2014-06,78
2014-07,80
2014-08,82
2014-09,74
2014-10,72
2014-11,75
2014-12,73
2015-01,74
2015-02,73
2015-03,79
2015-04,77
2015-05,81
2015-06,80
2015-07,85
2015-08,87
2015-09,80
2015-10,79
2015-11,74
2015-12,76
2016-01,78
2016-02,85
2016-03,80
2016-04,81
2016-05,82
2016-06,83
2016-07,87
2016-08,87
2016-09,83
2016-10,78
2016-11,74
2016-12,79
2017-01,77
2017-02,80
2017-03,80
2017-04,80
2017-05,83
2017-06,92
2017-07,93
2017-08,89
2017-09,86
2017-10,85
2017-11,82
2017-12,85
2018-01,83
2018-02,86
2018-03,87
2018-04,86
2018-05,87
2018-06,93
2018-07,95
2018-08,94
2018-09,86
2018-10,83
2018-11,82
2018-12,86
2019-01,88
2019-02,92
2019-03,97
2019-04,86
2019-05,93
2019-06,92
2019-07,93
2019-08,95
2019-09,100
2019-10,86
2019-11,85
2019-12,83
2020-01,84
2020-02,89
2020-03,68
2020-04,64
2020-05,85
2020-06,92
2020-07,95
2020-08,86
2020-09,85
2020-10,88
2020-11,77
2020-12,80
